che             {'PHON', 'LANG:IT'}
che-            {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'LANG:IT', 'PHI_N', 'PHON', '-COMP:VA/inf', 'PF:che', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', '-COMP:T/fin', 'COMP:C', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'SPEC:A', '-COMP:*', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', 'LF:who', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
chiamato        {'PHON', 'LANG:IT'}
chiamata-       {'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', 'LANG:IT', 'ASP', 'PHON', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:P', 'LF:called', 'PF:chiamato', 'PHI:GEN:_', '-COMP:v', 'PHI:DET:_', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
claims          {'PHON', 'LANG:EN'}
claim-          {'COMP:P', 'PF:claim', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:EN', 'SPEC:ADV', 'SPEC:P', '-COMP:φ', 'PHI:GEN:_', '-COMP:v', 'PHI:DET:_', 'LF:claim', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', 'COMP:T/fin', '-SPEC:FORCE'}
danno           {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'LANG:IT', 'PHON', '-COMP:VA/inf', 'LF:damage', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', '-COMP:T/fin', 'COMP:C', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'SPEC:A', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', 'PF:danno', '-COMP:A', '-SPEC:FORCE'}
del             {'PHON', 'LANG:IT'}
della           {'PHON', 'LANG:IT'}
detesto         {'PHON', 'LANG:IT'}
detesto         {'PHON', 'LANG:IT'}
detest-         {'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', 'LANG:IT', 'ASP', 'PHON', 'PHI:PER:_', 'PF:detest', 'SPEC:ADV', 'SPEC:P', 'COMP:φ', 'PHI:GEN:_', '-COMP:v', 'SEM:internal', 'PHI:DET:_', 'LF:detest', 'ARG', 'COMP:ARE/inf', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
devono          {'PHON', 'LANG:EN'}
deva-           {'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', 'LANG:IT', 'SPEC:φ', 'PF:deva', 'PHON', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:P', 'PHI:GEN:_', '-COMP:v', 'SEM:internal', '-ASP', 'PHI:DET:_', 'ARG', 'COMP:ARE/inf', '-COMP:N', '-COMP:V', 'PHI:NUM:_', 'LF:must', '-SPEC:FORCE'}
