ï»¿dummy        {'dummy', 'LANG:EN'}
ei'             {'!COMP:*', 'FIN', 'COMP:T/prt', '-SPEC:T/fin', 'SEM:internal', 'PHI:NUM:_', '!COMP:T', 'POL:NEG', 'PHI:DET:_', 'VAL', 'LANG:FI', '%SPEC:INF', '!SPEC:*', 'PHI:PER:_', '-SPEC:T', 'NEG', 'ARG', 'Neg/fin', 'PF:ei', 'LF:neg', 'PHI:GEN:_', 'SPEC:*'}
e-              {'!COMP:*', 'FIN', 'COMP:T/prt', '-SPEC:T/fin', 'SEM:internal', 'PHI:NUM:_', '!COMP:T', 'POL:NEG', 'PHI:DET:_', 'VAL', 'LANG:FI', '%SPEC:INF', '!SPEC:*', 'PHI:PER:_', '-SPEC:T', 'NEG', 'ARG', 'Neg/fin', 'PF:ei', 'LF:neg', 'PHI:GEN:_', 'SPEC:*'}
elaa            ['LANG:FI']
ela-            {'V', '-SPEC:T/fin', 'PHI:NUM:_', '-COMP:v', '-COMP:D', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:V', 'LANG:FI', 'PF:elaa', '-COMP:N', 'SPEC:ADV', 'PHI:PER:_', 'LF:live', '-VAL', 'ASP', 'ARG', 'CLASS:INTR', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_'}
etsii           ['LANG:FI']
etsi-           {'!COMP:*', 'V', '-SPEC:T/fin', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'LF:search', 'SPEC:P', '-COMP:P', '!COMP:D', 'PHI:DET:_', '-COMP:V', 'LANG:FI', 'CLASS:TR', '-COMP:N', 'SPEC:ADV', 'PHI:PER:_', '-VAL', 'COMP:D', 'ASP', 'ARG', 'SPEC:TO/inf', 'PHI:GEN:_', 'PF:etsi'}
etta            {'!COMP:*', 'FIN', 'COMP:T/fin', '-VAL', 'COMP:C/fin', 'LF:that', 'FORCE', '-SPEC:*', '!PROBE:FIN', '-SPEC:D', 'PF:etta', '-ARG', 'LANG:FI'}
fell            ['LANG:EN']
fell-           {'V', '-SPEC:T/fin', 'PHI:NUM:_', '-COMP:v', '-COMP:D', 'LF:fell', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:V', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'LANG:EN', 'ASP', 'ARG', 'PF:fell', '!SPEC:D', 'CLASS:INTR', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_'}
flow'           {'V', '-SPEC:T/fin', 'PF:flow', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', 'PHI:DET:_', 'LF:flow', '-COMP:V', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'LANG:EN', 'ASP', 'ARG', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_'}
