che             {'LANG:IT', 'PHON'}
che-            {'-COMP:V', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'N', '-SPEC:ADV', 'LF:who', '-COMP:D', '-COMP:T/fin', '-SPEC:uWH', 'PHI_N', '-SPEC:T/fin', 'PF:che', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'LANG:IT', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', '-COMP:*', 'COMP:uR', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
chiamato        {'LANG:IT', 'PHON'}
chiamata-       {'LF:called', '-COMP:V', '-PHI', '-SPEC:T/fin', 'SPEC:TO/inf', 'PF:chiamato', 'ARG', '-COMP:v', 'PHI:DET:_', 'LANG:IT', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:GEN:_', 'PHON', 'PHI:PER:_', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE'}
claims          {'LANG:EN', 'PHON'}
claim-          {'PF:claim', 'LANG:EN', '-COMP:V', 'SPEC:φ', '-PHI', 'COMP:T/fin', '-SPEC:T/fin', 'SPEC:TO/inf', 'LF:claim', 'ARG', '-COMP:v', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'PHON', 'PHI:PER:_', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE', '-COMP:φ'}
danno           {'PF:danno', '-COMP:V', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'LF:damage', 'COMP:C', 'N', '-SPEC:ADV', '-COMP:D', '-COMP:T/fin', '-SPEC:uWH', '-SPEC:T/fin', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'LANG:IT', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', 'COMP:uR', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
del             {'LANG:IT', 'PHON'}
della           {'LANG:IT', 'PHON'}
detesto         {'LANG:IT', 'PHON'}
detesto         {'LANG:IT', 'PHON'}
detest-         {'-COMP:V', 'LF:detest', '-PHI', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', 'COMP:ARE/inf', '-COMP:v', 'PF:detest', 'PHI:DET:_', 'LANG:IT', 'SEM:internal', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:GEN:_', 'COMP:φ', 'PHON', 'PHI:PER:_', 'ASP', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE'}
devono          {'LANG:EN', 'PHON'}
