Prediction errors:
2994. nenä-#AhtA#O#inen 
2995. nenä-#AhtA#O#mAinen 
2997. nenä-#AhtA#O#tOn 
3008. nenä-#AhtA#Us#[NOM] 
3010. nenä-#AhtA#Us#mAinen 
3021. nenä-#AhtA#stO#tAr 
3023. nenä-#AhtA#stO#[NOM] 
3024. nenä-#AhtA#stO#inen 
3025. nenä-#AhtA#stO#mAinen 
3027. nenä-#AhtA#stO#tOn 
3036. nenä-#AhtA#(t)e#tAr 
3038. nenä-#AhtA#(t)e#[NOM] 
3039. nenä-#AhtA#(t)e#inen 
3040. nenä-#AhtA#(t)e#mAinen 
3053. nenä-#AhtA#ise#[NOM] 
3060. nenä-#AhtA#ise#hkO 
3068. nenä-#AhtA#mAise#[NOM] 
3075. nenä-#AhtA#mAise#hkO 
3093. nenä-#AhtA#impss#T/fin#prs#n 
3104. nenä-#AhtA#impss#vA 
3121. nenä-#AhtA#v#(t)A 
3123. nenä-#AhtA#v#T/fin#prs#n 
3127. nenä-#AhtA#v#jA 
3131. nenä-#AhtA#v#mAtOn 
3133. nenä-#AhtA#v#mA 
3134. nenä-#AhtA#v#vA 
3143. nenä-#AhtA#mise#[NOM] 
3173. nenä-#AhtA#jA#[NOM] 
3174. nenä-#AhtA#jA#inen 
3175. nenä-#AhtA#jA#mAinen 
3177. nenä-#AhtA#jA#tOn 
3233. nenä-#AhtA#mAtOn#[NOM] 
3263. nenä-#AhtA#mA#[NOM] 
3278. nenä-#AhtA#vA#[NOM] 
3301. nenä-#Aise#TA#(t)A 
3303. nenä-#Aise#TA#T/fin#prs#n 
3307. nenä-#Aise#TA#jA 
3311. nenä-#Aise#TA#mAtOn 
3313. nenä-#Aise#TA#mA 
3314. nenä-#Aise#TA#vA 
3316. nenä-#Aise#ile#(t)A 
3318. nenä-#Aise#ile#T/fin#prs#n 
3322. nenä-#Aise#ile#jA 
3326. nenä-#Aise#ile#mAtOn 
3328. nenä-#Aise#ile#mA 
3329. nenä-#Aise#ile#vA 
3331. nenä-#Aise#UTU#(t)A 
3333. nenä-#Aise#UTU#T/fin#prs#n 
3337. nenä-#Aise#UTU#jA 
3341. nenä-#Aise#UTU#mAtOn 
3344. nenä-#Aise#UTU#vA 
3346. nenä-#Aise#AhtA#(t)A 
3348. nenä-#Aise#AhtA#T/fin#prs#n 
3352. nenä-#Aise#AhtA#jA 
3356. nenä-#Aise#AhtA#mAtOn 
3358. nenä-#Aise#AhtA#mA 
3359. nenä-#Aise#AhtA#vA 
3361. nenä-#Aise#Aise#(t)A 
3363. nenä-#Aise#Aise#T/fin#prs#n 
3367. nenä-#Aise#Aise#jA 
3371. nenä-#Aise#Aise#mAtOn 
3373. nenä-#Aise#Aise#mA 
3374. nenä-#Aise#Aise#vA 
3376. nenä-#Aise#a#(t)A 
3378. nenä-#Aise#a#T/fin#prs#n 
3382. nenä-#Aise#a#jA 
3386. nenä-#Aise#a#mAtOn 
3388. nenä-#Aise#a#mA 
3389. nenä-#Aise#a#vA 
3396. nenä-#Aise#O#tAr 
3398. nenä-#Aise#O#[NOM] 
3399. nenä-#Aise#O#inen 
3400. nenä-#Aise#O#mAinen 
3402. nenä-#Aise#O#tOn 
3413. nenä-#Aise#Us#[NOM] 
3415. nenä-#Aise#Us#mAinen 
3426. nenä-#Aise#stO#tAr 
3428. nenä-#Aise#stO#[NOM] 
3429. nenä-#Aise#stO#inen 
3430. nenä-#Aise#stO#mAinen 
3432. nenä-#Aise#stO#tOn 
3441. nenä-#Aise#(t)e#tAr 
3443. nenä-#Aise#(t)e#[NOM] 
3444. nenä-#Aise#(t)e#inen 
3445. nenä-#Aise#(t)e#mAinen 
3458. nenä-#Aise#ise#[NOM] 
3465. nenä-#Aise#ise#hkO 
3473. nenä-#Aise#mAise#[NOM] 
3480. nenä-#Aise#mAise#hkO 
3498. nenä-#Aise#impss#T/fin#prs#n 
3509. nenä-#Aise#impss#vA 
3526. nenä-#Aise#v#(t)A 
3528. nenä-#Aise#v#T/fin#prs#n 
3532. nenä-#Aise#v#jA 
3536. nenä-#Aise#v#mAtOn 
3538. nenä-#Aise#v#mA 
3539. nenä-#Aise#v#vA 
3548. nenä-#Aise#mise#[NOM] 
3578. nenä-#Aise#jA#[NOM] 
3579. nenä-#Aise#jA#inen 
3580. nenä-#Aise#jA#mAinen 
3582. nenä-#Aise#jA#tOn 
3638. nenä-#Aise#mAtOn#[NOM] 
3668. nenä-#Aise#mA#[NOM] 
3683. nenä-#Aise#vA#[NOM] 
4111. nenä-#O#TA#(t)A 
4113. nenä-#O#TA#T/fin#prs#n 
4117. nenä-#O#TA#jA 
4121. nenä-#O#TA#mAtOn 
4123. nenä-#O#TA#mA 
4124. nenä-#O#TA#vA 
4126. nenä-#O#ile#(t)A 
4128. nenä-#O#ile#T/fin#prs#n 
4132. nenä-#O#ile#jA 
4136. nenä-#O#ile#mAtOn 
4138. nenä-#O#ile#mA 
4139. nenä-#O#ile#vA 
4141. nenä-#O#UTU#(t)A 
4143. nenä-#O#UTU#T/fin#prs#n 
4147. nenä-#O#UTU#jA 
4151. nenä-#O#UTU#mAtOn 
4154. nenä-#O#UTU#vA 
4156. nenä-#O#AhtA#(t)A 
4158. nenä-#O#AhtA#T/fin#prs#n 
4162. nenä-#O#AhtA#jA 
4166. nenä-#O#AhtA#mAtOn 
4168. nenä-#O#AhtA#mA 
4169. nenä-#O#AhtA#vA 
4171. nenä-#O#Aise#(t)A 
4173. nenä-#O#Aise#T/fin#prs#n 
4177. nenä-#O#Aise#jA 
4181. nenä-#O#Aise#mAtOn 
4183. nenä-#O#Aise#mA 
4184. nenä-#O#Aise#vA 
4186. nenä-#O#a#(t)A 
4188. nenä-#O#a#T/fin#prs#n 
4192. nenä-#O#a#jA 
4196. nenä-#O#a#mAtOn 
4198. nenä-#O#a#mA 
4199. nenä-#O#a#vA 
4206. nenä-#O#O#tAr 
4208. nenä-#O#O#[NOM] 
4209. nenä-#O#O#inen 
4210. nenä-#O#O#mAinen 
4212. nenä-#O#O#tOn 
4223. nenä-#O#Us#[NOM] 
