che             {'LANG:IT', 'PHON'}
che-            {'LF:who', 'PF:che', '-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-COMP:VA/inf', '-SPEC:FORCE', 'LANG:IT', '-COMP:T/fin', '-COMP:*', '-SPEC:V', 'PHON', '-SPEC:R', 'N', '-SPEC:N', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', 'PHI_N', '-COMP:C/fin'}
chiamato        {'LANG:IT', 'PHON'}
chiamata-       {'PHI:NUM:_', 'ASP', 'ARG', 'PF:chiamato', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:N', 'COMP:P', 'V', 'LF:called', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'LANG:IT', 'PHI:PER:_', 'SPEC:ADV', '-COMP:V', 'PHON', 'SPEC:TO/inf'}
claims          {'PHON', 'LANG:EN'}
claim-          {'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:φ', '-COMP:N', 'LF:claim', 'COMP:P', 'V', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', 'COMP:T/fin', 'PF:claim', 'LANG:EN', 'PHON', 'SPEC:TO/inf'}
danno           {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-COMP:VA/inf', '-SPEC:FORCE', 'LANG:IT', '-COMP:T/fin', 'LF:damage', '-SPEC:V', 'PHON', '-SPEC:R', 'N', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', '-SPEC:ADV', 'PF:danno', 'COMP:T/prt', '-COMP:AUX', '-SPEC:N', '-COMP:C/fin'}
del             {'LANG:IT', 'PHON'}
della           {'LANG:IT', 'PHON'}
detesto         {'LANG:IT', 'PHON'}
detesto         {'LANG:IT', 'PHON'}
detest-         {'COMP:ARE/inf', 'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'LF:detest', 'PHI:GEN:_', '-VAL', 'SPEC:P', 'PF:detest', '-COMP:N', 'COMP:P', 'COMP:φ', 'V', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'LANG:IT', 'PHI:PER:_', 'SPEC:ADV', 'SEM:internal', '-COMP:V', 'PHON', 'SPEC:TO/inf'}
devono          {'PHON', 'LANG:EN'}
deva-           {'COMP:ARE/inf', 'PHI:NUM:_', 'PHI:DET:_', 'ARG', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:N', 'COMP:P', 'V', '-ASP', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'LANG:IT', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', 'SEM:internal', '-COMP:V', 'PF:deva', 'PHON', 'SPEC:TO/inf', 'LF:must'}
di              {'-SPEC:N', '-SPEC:iR', '-adjoinable', 'PHI:NUM:_', 'PHI:DET:_', '-COMP:A', '-SPEC:iWH', 'ARG', 'SPEC:*', '-COMP:ADV', 'PHI:GEN:_', '-VAL', '-COMP:N', '!COMP:*', 'COMP:φ', '-SPEC:C/fin', '-SPEC:P', 'P', '-SPEC:FORCE', '-SPEC:T/fin', 'LF:of', '-COMP:T/fin', '-COMP:T', '-SPEC:v', '-SPEC:Neg/fin', '-SPEC:INF', '-COMP:uWH', 'PHI:PER:_', '-SPEC:ADV', '-SPEC:V', '-SPEC:T/prt', '-SPEC:C', 'PHON', 'LANG:FI', 'PF:di'}
does            {'T', '-adjoinable', 'PHI:DET:_', '-SPEC:TO/inf', 'PHI:NUM:SG', 'PHI:GEN:_', 'SPEC:C/fin', '-COMP:INF', 'SPEC:T/prt', 'COMP:v', '-COMP:T/fin', 'PHI:PER:_', '-SPEC:v', 'SPEC:φ', 'LANG:EN', '-SPEC:V', 'PHON', '!SPEC:*', 'SPEC:TO/inf', 'COMP:V', '-SPEC:Neg', 'LF:does', 'PHI:NUM:_', 'ARG', 'SPEC:*', 'PF:does', 'SPEC:FORCE', '!PROBE:V', 'VAL', 'PHI:PER:3', 'T/fin', '!COMP:*', 'FIN', 'PHI:GEN:F', 'PHI:GEN:M', '-SPEC:T/fin', '-SPEC:N', 'COMP:Neg', '-SPEC:C'}
does            {'PHON', 'LANG:EN'}
does_C          {'PHON', 'LANG:EN'}
does_T          {'T', '-adjoinable', 'PHI:DET:_', '-SPEC:TO/inf', 'PHI:NUM:SG', 'PHI:GEN:_', 'SPEC:C/fin', '-COMP:INF', 'SPEC:T/prt', 'COMP:v', '-COMP:T/fin', 'PHI:PER:_', '-SPEC:v', 'SPEC:φ', 'LANG:EN', '-SPEC:V', 'PHON', '!SPEC:*', 'SPEC:TO/inf', 'COMP:V', '-SPEC:Neg', 'LF:does', 'PHI:NUM:_', 'ARG', 'SPEC:*', 'PF:does', 'SPEC:FORCE', '!PROBE:V', 'VAL', 'PHI:PER:3', 'T/fin', '!COMP:*', 'FIN', 'PHI:GEN:F', 'PHI:GEN:M', '-SPEC:T/fin', '-SPEC:N', 'COMP:Neg', '-SPEC:C'}
does-           {'T', '-adjoinable', 'PHI:DET:_', '-SPEC:TO/inf', 'PHI:NUM:SG', 'PHI:GEN:_', 'SPEC:C/fin', '-COMP:INF', 'SPEC:T/prt', 'COMP:v', '-COMP:T/fin', 'PHI:PER:_', '-SPEC:v', 'SPEC:φ', 'LANG:EN', '-SPEC:V', 'PHON', '!SPEC:*', 'SPEC:TO/inf', 'COMP:V', '-SPEC:Neg', 'LF:does', 'PHI:NUM:_', 'ARG', 'SPEC:*', 'PF:does', 'SPEC:FORCE', '!PROBE:V', 'VAL', 'PHI:PER:3', 'T/fin', '!COMP:*', 'FIN', 'PHI:GEN:F', 'PHI:GEN:M', '-SPEC:T/fin', '-SPEC:N', 'COMP:Neg', '-SPEC:C'}
dorme           {'LANG:IT', 'PHON'}
