ï»¿dummy        {'dummy', 'LANG:FI'}
me-             {'-COMP:V', 'PF:me', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', 'LF:we', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
te              ['LANG:FI']
te-             {'-COMP:V', 'LF:you', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', 'PF:te', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
he_FI           ['LANG:FI']
heidan          ['LANG:FI']
he-             {'-COMP:V', 'COMP:R', '-SPEC:T/fin', 'LF:they', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'PF:he', 'COMP:uR'}
he-             {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', '-SPEC:INF', 'LANG:EN', 'LF:he', '-COMP:C/fin', 'PF:he', 'COMP:uR'}
se              ['LANG:FI']
se-             {'!COMP:*', 'D', '-SPEC:T/fin', '!PROBE:N', '-SPEC:P', '-SPEC:MA/lla', 'LF:it/that', '-COMP:uR', '-SPEC:D', '-COMP:T/fin', '-ARG', 'COMP:N', '-SPEC:Neg/fin', '-SPEC:V', 'LANG:FI', '-SPEC:N', 'adjoinable', '-SPEC:INF', 'PF:se', 'VAL'}
I               ['LANG:FI']
I-              {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:I', 'PF:I', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', '-SPEC:INF', 'LANG:EN', '-COMP:C/fin', 'COMP:uR'}
you             ['LANG:FI']
you-            {'-COMP:V', 'LF:you', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', '-SPEC:INF', 'LANG:EN', '-COMP:C/fin', 'COMP:uR', 'PF:you'}
he              ['LANG:FI']
she             ['LANG:FI']
she-            {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', '-SPEC:INF', 'LANG:EN', 'PF:she', '-COMP:C/fin', 'COMP:uR', 'LF:she'}
we              ['LANG:FI']
we-             {'PF:we', '-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', 'LF:we', '-SPEC:INF', 'LANG:EN', '-COMP:C/fin', 'COMP:uR'}
you_pl          ['LANG:FI']
you_pl-         {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:you_pl', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', 'PF:you_pl', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', 'PHI', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', 'LANG:EN', '-COMP:C/fin', 'COMP:uR'}
they            ['LANG:FI']
they-           {'PF:they', '-COMP:V', 'COMP:R', '-SPEC:T/fin', 'LF:they', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', '-SPEC:INF', 'LANG:EN', '-COMP:C/fin', 'COMP:uR'}
it              ['LANG:EN']
it-             {'!COMP:*', 'D', '-SPEC:T/fin', '!PROBE:N', '-SPEC:P', '-SPEC:MA/lla', 'LF:it/that', '-COMP:uR', '-SPEC:D', '-COMP:T/fin', '-ARG', 'COMP:N', '-SPEC:Neg/fin', '-SPEC:V', '-SPEC:N', 'PF:it', 'adjoinable', '-SPEC:INF', 'LANG:EN', 'VAL'}
io              ['LANG:FI']
io-             {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:I', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', 'LANG:IT', '-SPEC:INF', '-COMP:C/fin', 'PF:io', 'COMP:uR'}
tu              ['LANG:FI']
tu-             {'-COMP:V', 'LF:you', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', 'PF:tu', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', 'LANG:IT', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
lui             ['LANG:FI']
lui-            {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', 'LANG:IT', '-SPEC:INF', 'LF:he', '-COMP:C/fin', 'PF:lui', 'COMP:uR'}
lei             ['LANG:FI']
lei-            {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', 'PF:lei', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', 'LANG:IT', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR', 'LF:she'}
noi             ['LANG:FI']
noi-            {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', 'LANG:IT', 'LF:we', '-SPEC:INF', '-COMP:C/fin', 'PF:noi', 'COMP:uR'}
voi             ['LANG:FI']
voi-            {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'LF:you_pl', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', 'PF:voi', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', 'LANG:IT', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
loro            ['LANG:EN']
loro-           {'-COMP:V', 'COMP:R', '-SPEC:T/fin', 'LF:they', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', 'PF:loro', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', 'LANG:IT', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
mi              ['LANG:FI']
mi-             {'-SPEC:T/fin', '-SPEC:ADV', 'COMP:R/D', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:R', 'SPEC:A', '-SPEC:FORCE', 'LANG:IT', 'CL', 'COMP:uR', 'PF:mi(cl)', '-COMP:V', 'COMP:R', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:uWH', '-COMP:v', 'LF:me', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-COMP:P', '-SPEC:N', '-COMP:D', '-SPEC:INF', '-COMP:C/fin'}
la              ['LANG:FI']
la-             {'-SPEC:T/fin', '-SPEC:ADV', 'COMP:R/D', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:R', 'SPEC:A', '-SPEC:FORCE', 'LANG:IT', 'CL', 'COMP:uR', '-COMP:V', 'LF:her', 'COMP:R', '-COMP:ADV', 'PF:la(cl)', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:uWH', '-COMP:v', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-COMP:P', '-SPEC:N', '-COMP:D', '-SPEC:INF', '-COMP:C/fin'}
lo              ['LANG:FI']
lo-             {'-SPEC:T/fin', 'PF:lo(cl)', '-SPEC:ADV', 'COMP:R/D', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:R', 'SPEC:A', '-SPEC:FORCE', 'LANG:IT', 'CL', 'LF:him', 'COMP:uR', '-COMP:V', 'COMP:R', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:uWH', '-COMP:v', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-COMP:P', '-SPEC:N', '-COMP:D', '-SPEC:INF', '-COMP:C/fin'}
si              ['LANG:FI']
si-             {'PF:si(cl)', '-SPEC:T/fin', 'LF:3sg', '-SPEC:ADV', 'COMP:R/D', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:R', 'SPEC:A', '-SPEC:FORCE', 'LANG:IT', 'COMP:uR', 'CAL:CL', '-COMP:V', 'COMP:R', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:uWH', '-COMP:v', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-COMP:P', '-SPEC:N', '-COMP:D', '-SPEC:INF', '-COMP:C/fin'}
gli             ['LANG:FI']
gli             ['LANG:FI']
ci              ['LANG:FI']
ci-             {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', 'PF:ci', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', 'LF:there', '-SPEC:N', '-SPEC:FORCE', 'LANG:IT', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
[-n]            {'-', 'LANG:FI', 'PHI:PER:1', 'PHI', 'PHI:HUM:HUM', 'PHI:NUM:SG', 'PHI:DET:DEF'}
[-t]            {'-', 'LANG:FI', 'PHI', 'PHI:HUM:HUM', 'PHI:PER:2', 'PHI:NUM:SG', 'PHI:DET:DEF'}
[-V]            {'-', 'LANG:FI', 'PHI', 'PHI:PER:3', 'PHI:NUM:SG'}
[-mme]          {'-', 'LANG:FI', 'PHI', 'PHI:HUM:HUM', 'PHI:NUM:PL', 'PHI:PER:1', 'PHI:DET:DEF'}
[-mme]          {'-', 'LANG:FI', 'PHI:HUM:HUM', 'PHI:NUM:PL', 'PHI:PER:1', 'PHI:DET:DEF'}
[-tte]          {'-', 'LANG:FI', 'PHI', 'PHI:PER:2', 'PHI:HUM:HUM', 'PHI:NUM:PL', 'PHI:DET:DEF'}
[-vat]          {'-', 'LANG:FI', 'PHI', 'PHI:PER:3', 'PHI:NUM:PL'}
[-0]            {'LANG:FI', '-', '-VAL', '-ARG'}
[-0]            {'-', 'PHI', 'PHI:GEN:N', 'PHI:NUM:PL', 'PHI:NUM:SG', 'LANG:EN', 'PHI:PER:3', 'PHI:PER:2', 'PHI:PER:1', 'PHI:DET:DEF'}
[-ni]           {'-', 'LANG:FI', 'PHI:PER:1', 'PHI', 'PHI:HUM:HUM', 'PHI:NUM:SG', 'PHI:DET:DEF'}
[-si]           {'-', 'LANG:FI', 'PHI', 'PHI:HUM:HUM', 'PHI:PER:2', 'PHI:NUM:SG', 'PHI:DET:DEF'}
[-nsa]          {'PHI:PER:3', '-', 'LANG:FI', 'PHI'}
[-an]           {'PHI:PER:3', '-', 'LANG:FI', 'PHI'}
[-nne]          {'-', 'LANG:FI', 'PHI:PER:2', 'PHI:HUM:HUM', 'PHI:NUM:PL', 'PHI:DET:DEF'}
[-s]            {'-', 'PHI:GEN:F', 'PHI', 'PHI:PER:3', 'PHI:NUM:SG', 'PHI:GEN:M', 'LANG:EN'}
[-o]            {'-', 'PHI:PER:1', 'PHI', 'LANG:IT', 'PHI:HUM:HUM', 'PHI:NUM:SG', 'PHI:DET:DEF'}
[-i]            {'-', 'PHI', 'LANG:IT', 'PHI:HUM:HUM', 'PHI:PER:2', 'PHI:NUM:SG', 'PHI:DET:DEF'}
[-a]            {'-', 'PHI', 'PHI:PER:3', 'LANG:IT', 'PHI:NUM:SG', 'PHI:DET:DEF'}
[-e]            {'-', 'PHI', 'PHI:PER:3', 'LANG:IT', 'PHI:NUM:SG', 'PHI:DET:DEF'}
[-iamo]         {'-', 'PHI', 'LANG:IT', 'PHI:HUM:HUM', 'PHI:NUM:PL', 'PHI:PER:1', 'PHI:DET:DEF'}
[-te]           {'-', 'PHI', 'PHI:PER:2', 'LANG:IT', 'PHI:HUM:HUM', 'PHI:NUM:PL', 'PHI:DET:DEF'}
[-no]           {'-', 'PHI', 'PHI:PER:3', 'LANG:IT', 'PHI:NUM:PL', 'PHI:DET:DEF'}
[-n_acc]        {'TAIL:*POL:NEG', '-', 'TAIL:ASP', 'LANG:FI', 'TAIL:PHI', 'adjoinable'}
[-t_acc]        {'TAIL:*POL:NEG', '-', 'TAIL:ASP', 'LANG:FI', 'adjoinable'}
[-0_acc]        {'TAIL:*POL:NEG', '-', 'TAIL:ASP', 'TAIL:VAL,-PHI', 'LANG:FI', 'adjoinable'}
[-a_par]        {'TAIL:ARG,-VAL', '-', 'adjoinable', 'LANG:FI'}
[-n_gen]        {'TAIL:INF,!COMP:*', '-', '-adjoinable', 'LANG:FI'}
[-nom]          {'adjoinable', '-', 'LANG:FI', 'TAIL:FIN,!COMP:*,VAL'}
a'              {'LF:A', 'PF:a', 'a', 'LANG:X'}
b'              {'LANG:X', 'b', 'LF:B', 'PF:b'}
c'              {'PF:c', 'c', 'LANG:X', 'LF:C'}
d'              {'LF:D', 'd', 'LANG:', 'PF:d'}
a''             ['LANG:FI']
x'              {'PF:x', 'x', 'LF:X', 'LANG:X'}
y'              {'PF:y', 'y', 'LANG:X', 'LF:Y'}
z'              {'PF:z', 'z', 'LF:Z', 'LANG:X'}
T/fin           {'LF:T', '!COMP:*', '-SPEC:T/fin', 'COMP:D', 'CAT:ARG', 'COMP:v', 'FIN', 'COMP:T/prt', 'PF:T/fin', '!SPEC:*', 'PHI:PER:_', 'PHI:NUM:_', '-SPEC:C/fin', '-SPEC:V', '!PROBE:V', 'SPEC:D', 'COMP:V', 'LANG:FI', '-SPEC:N', 'VAL', 'PHI:DET:_', '-SPEC:v', 'SPEC:*', 'T', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'T/fin'}
v               {'PHI:NUM:_', 'SPEC:D', '!COMP:*', 'LANG:FI', 'COMP:V', '-SPEC:N', 'PHI:DET:_', 'LF:v', '-VAL', 'CAT:ARG', 'ARG', 'PHI:PER:_', 'v', '!PROBE:V', 'ASP', 'PF:v'}
v*              {'PHI:NUM:_', 'v*', 'SEM:external', 'SPEC:D', '!COMP:*', 'PF:v*', 'LANG:FI', 'COMP:V', '-SPEC:N', 'PHI:DET:_', 'LF:v*', '-VAL', 'CAT:ARG', 'ARG', 'PHI:PER:_', 'v', '!PROBE:V', 'ASP'}
C/fin           {'!COMP:*', '-SPEC:T/fin', '-COMP:A/inf', 'C', 'FIN', '!PROBE:FIN', '-COMP:T/prt', '-ARG', 'COMP:Neg/fin', 'LF:C/fin', '-SPEC:C/fin', 'LANG:FI', '-SPEC:N', 'SPEC:*', 'PF:C/fin', 'COMP:T/fin', '-COMP:C/fin', 'C/fin', 'VAL', '-COMP:TO/inf'}
T               {'LF:T', '!COMP:*', '-SPEC:T/fin', 'COMP:D', '-COMP:NEG', 'CAT:ARG', 'COMP:v', 'FIN', 'COMP:T/prt', '!SPEC:*', 'PHI:PER:_', 'PHI:NUM:_', '-SPEC:C/fin', '-SPEC:Neg/fin', 'PF:T', '-SPEC:V', 'SPEC:D', 'LANG:FI', 'COMP:V', '-SPEC:N', 'SPEC:*', 'VAL', 'PHI:DET:_', 'T', '-SPEC:FORCE', 'ARG', '!PROBE:V'}
T/prt           {'!COMP:*', '-SPEC:T/fin', '-SPEC:FIN', 'COMP:D', '-COMP:NEG', 'CAT:ARG', 'COMP:v', 'COMP:T/prt', '!SPEC:*', 'PHI:PER:_', 'PHI:NUM:_', 'VAL', '-SPEC:V', '!PROBE:V', 'SPEC:D', 'COMP:V', 'LANG:FI', '-SPEC:N', '-SPEC:T', 'PHI:DET:_', 'SPEC:*', 'T', '-SPEC:FORCE', '-SPECT:T/prt', 'ARG', 'LF:T/prt', 'T/prt', 'PF:T/prt'}
a0              {'LANG:FI', 'SPEC:*', 'COMP:0', 'adjoinable', 'LF:A', '-SPEC:A', 'TAIL:D', 'A', 'PF:A'}
impass          {'LF:impass', 'PHI:NUM:_', 'SPEC:D', '!COMP:*', 'LANG:FI', 'COMP:V', '-SPEC:N', 'PHI:DET:_', '-VAL', 'CAT:ARG', 'PF:impass', 'ARG', 'PHI:PER:_', 'v', '!PROBE:V', 'ASP'}
INF             {'-SPEC:V', '!PROBE:V', 'LF:INF', 'COMP:V', 'LANG:FI', '!COMP:*', '-COMP:FORCE', '-SPEC:T/fin', 'COMP:v', '-COMP:C/fin', 'INF', 'PF:INF'}
prtcpl          {'!COMP:*', '-SPEC:T/fin', '-SPEC:FIN', 'COMP:D', 'VAL', '-COMP:NEG', 'CAT:ARG', 'COMP:v', 'FIN', 'COMP:T/prt', '!SPEC:*', 'INF', 'PHI:PER:_', 'PHI:NUM:_', '-SPEC:Neg/fin', '-SPEC:C/fin', '!PROBE:V', 'SPEC:D', '-SPEC:V', 'LANG:FI', 'SPEC:*', 'COMP:V', '-SPEC:N', '-SPEC:T', '-COMP:FORCE', 'T', '-SPEC:FORCE', 'PHI:DET:_', '-SPECT:T/prt', 'ARG', '-COMP:C/fin', 'LF:T/prt', 'T/prt', 'PF:T/prt'}
TO/inf          {'!COMP:*', '-SPEC:T/fin', 'LF:TO/inf', '-VAL', 'COMP:v', 'PF:TO/inf', 'INF', '-SPEC:V', 'COMP:V', 'LANG:FI', '-COMP:FORCE', 'adjoinable', '-SPEC:v', '?ARG', '-COMP:C/fin', 'TO/inf', '!PROBE:V'}
A/inf           {'!COMP:*', '-SPEC:T/fin', 'LF:A/inf', 'COMP:v', 'INF', '-SPEC:Neg/fin', '-SPEC:C/fin', '-SPEC:V', 'COMP:V', 'LANG:FI', 'SPEC:*', '-COMP:FORCE', '?ARG', 'A/inf', '-COMP:C/fin', 'PF:A/inf', '?VAL', '!PROBE:V'}
ARE/inf         {'!COMP:*', '-SPEC:T/fin', 'COMP:v', 'PF:are', 'INF', 'VAL', '-SPEC:V', 'COMP:V', 'LANG:FI', '-COMP:FORCE', 'adjoinable', '?ARG', 'ARE/inf', '-COMP:C/fin', 'LF:ARE/inf', '!PROBE:V'}
ESSA/inf        {'LF:while', '!COMP:*', '-SPEC:T/fin', 'COMP:v', 'PF:essa', 'ESSA/inf', 'INF', '-SPEC:Neg/fin', '-SPEC:V', 'COMP:V', 'LANG:FI', 'SPEC:*', '-SPEC:N', '-COMP:FORCE', 'ADV', '?ARG', 'adjoinable', '-SPEC:FORCE', '-COMP:C/fin', '?VAL', '!PROBE:V'}
TUA/inf         {'!COMP:*', '-SPEC:T/fin', 'CAT:ARG', 'COMP:v', 'TUA/inf', '!SPEC:*', 'INF', 'PHI:PER:_', 'PHI:NUM:_', '-SPEC:Neg/fin', '-SPEC:V', 'COMP:V', 'LANG:FI', 'PF:tua', '-SPEC:N', '-COMP:FORCE', 'ADV', 'adjoinable', 'SPEC:*', '-SPEC:FORCE', 'PHI:DET:_', 'LF:after', 'ARG', 'CAL', '-COMP:C/fin', '!PROBE:V'}
VA/inf          {'!COMP:*', '-SPEC:T/fin', 'PF:vAn', 'CAT:ARG', 'COMP:v', '!SPEC:*', 'INF', 'PHI:PER:_', 'PHI:NUM:_', 'VAL', '-SPEC:V', 'COMP:V', 'LANG:FI', 'PHI:DET:_', 'LF:VA', '-COMP:FORCE', 'SPEC:*', 'VA/inf', 'ARG', '-COMP:C/fin', '!PROBE:V'}
MA/ssa          {'-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', 'LF:in_doing', '-SPEC:T/fin', '-COMP:ADV', '!COMP:D', '-SPEC:P', '-VAL', 'CAT:ARG', '-SPEC:ADV', 'PHI:PER:_', '-COMP:T/fin', 'PHI:NUM:_', 'TAIL:V', '-SPEC:Neg/fin', '-SPEC:C/fin', 'MA/inf', '-SPEC:V', '-COMP:N', 'LANG:FI', 'SPEC:*', '-SPEC:N', 'adjoinable', '-SPEC:v', '-SPEC:FORCE', '-COMP:uWH', '-SPEC:INF', 'ARG', 'PHI:DET:_', 'PF:massa'}
MA/tta          {'-SPEC:Neg/fin', 'MA/inf', 'PF:matta', 'LANG:FI', '-SPEC:N', 'SPEC:*', 'adjoinable', 'ADV', '-SPEC:T/fin', '-SPEC:FORCE', '-VAL', 'CAT:ARG', 'ARG', 'LF:without_doing', 'PHI:PER:_', 'PHI:DET:_', 'PHI:NUM:_'}
MA/lla          {'-SPEC:Neg/fin', 'MA/inf', 'LANG:FI', '-SPEC:N', 'SPEC:*', 'adjoinable', 'ADV', '-SPEC:T/fin', 'PF:malla', '-SPEC:FORCE', '-VAL', 'CAT:ARG', 'ARG', 'LF:by_doing', 'PHI:PER:_', 'PHI:DET:_', 'PHI:NUM:_', 'TAIL:V'}
E/inf           {'-SPEC:Neg/fin', 'LANG:FI', '-SPEC:N', 'SPEC:*', 'adjoinable', 'ADV', '-SPEC:T/fin', '-SPEC:FORCE', 'PF:en', '-ARG', 'LF:by'}
ndo             {'!COMP:*', '-SPEC:T/fin', 'PRG', 'COMP:v', '!SPEC:*', 'PHI:PER:_', 'PHI:NUM:_', 'SPEC:*', '!PROBE:V', 'PHI:DET:_', 'CAT:ARG', 'PF:PRG', 'INF', '-SPEC:V', 'COMP:V', 'LANG:FI', '-COMP:FORCE', 'ARG', '-COMP:C/fin', 'LF:ing', 'VAL'}
BE-             {'V', 'COMP:A', '-COMP:V', '!COMP:*', '-SPEC:T/fin', 'COMP:D', '-VAL', '-COMP:Neg/fin', 'COMP:T/prt', 'COMP:P', '-COMP:v', '-ARG', 'COMP:N', 'PF:BE', 'COPULA', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-SPEC:FORCE', '-ASP', 'SPEC:TO/inf', 'SPEC:ADV', 'LF:BE', 'COMP:T'}
D               {'!COMP:*', 'D', '-SPEC:T/fin', '!PROBE:N', '-SPEC:P', '-SPEC:MA/lla', '-COMP:uR', '-SPEC:D', '-COMP:T/fin', '-ARG', 'COMP:N', '-SPEC:Neg/fin', '-SPEC:V', 'LANG:FI', '-SPEC:N', 'PF:D', 'LF:D', 'adjoinable', '-SPEC:INF', 'VAL'}
P               {'PF:P', '-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', '-SPEC:T/fin', '-COMP:ADV', '!COMP:D', '-SPEC:P', '-VAL', 'CAT:ARG', '-SPEC:ADV', 'PHI:PER:_', '-COMP:T/fin', 'PHI:NUM:_', '-SPEC:Neg/fin', '-SPEC:C/fin', '-SPEC:V', '-COMP:N', 'LANG:FI', 'SPEC:*', '-SPEC:N', 'adjoinable', '-SPEC:v', '-SPEC:FORCE', '-COMP:uWH', '-SPEC:INF', 'ARG', 'LF:P', 'PHI:DET:_'}
pro             ['LANG:FI']
