ï»¿dummy        {'dummy', 'LANG:FI'}
be-             {'V', 'PF:be', '-COMP:V', '!COMP:*', '-SPEC:T/fin', 'LF:be', '-VAL', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', '-ARG', 'ASP', 'COPULA', 'SPEC:D', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:EN', 'SPEC:TO/inf', 'SPEC:ADV', '-COMP:T', '-COMP:TO/inf'}
istuu           ['LANG:FI']
istu-           {'V', '-COMP:V', '-SPEC:T/fin', 'LF:sit', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PF:istuu', 'PHI:DET:_', '-COMP:T'}
John            ['LANG:EN']
John-           {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-SEM:directional', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-adjoinable', 'LF:John', '-SPEC:FORCE', '-SPEC:N', '-COMP:D', 'LANG:EN', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR', 'PF:John'}
Jukka           ['LANG:FI', '-SEM:directional', 'LANG:FI']
Jukkaa          ['LANG:FI', '-SEM:directional']
Jukka-          {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', 'PF:Jukka', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', 'LF:Jukka', 'LANG:FI', '-SEM:directional', '-SPEC:R', 'SPEC:A', '-COMP:N', '-COMP:AUX', '-SPEC:FORCE', '-COMP:P', '-SPEC:N', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
juosten         ['LANG:FI']
juokse-         {'V', '-COMP:V', 'PF:juokse-', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', 'LF:run', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
kaupunkia       ['LANG:FI']
kaupunki        {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:city', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', 'PF:kaupunki', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-COMP:P', '-SPEC:R', 'SPEC:A', '-COMP:AUX', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
kaskee          ['LANG:FI']
kaske-          {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', 'PF:kaske', '-SPEC:*', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SEM:external', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'LF:order', 'PHI:DET:_', '-COMP:T', '!COMP:A/inf'}
key             {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LF:key', '-SPEC:R', '-COMP:AUX', 'PF:key', 'SPEC:A', '-COMP:P', '-SPEC:FORCE', '-SPEC:N', '-COMP:D', '-SPEC:INF', 'LANG:EN', '-COMP:C/fin', 'COMP:uR'}
keta            ['LANG:FI']
keta-           {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', 'LF:who', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', 'PF:ketÃ¤', '-COMP:C/fin', 'COMP:uR'}
kirja-          {'-COMP:V', 'PF:kirja', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-SEM:directional', 'LANG:FI', '-SPEC:R', 'SPEC:A', '-COMP:AUX', '-COMP:P', '-SPEC:FORCE', '-SPEC:N', '-COMP:D', '-SPEC:INF', 'LF:book', '-COMP:C/fin', 'COMP:uR'}
kirjan          ['LANG:FI']
kohti           {'-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', '-SPEC:T/fin', '-COMP:ADV', '!COMP:D', '-SPEC:P', '-VAL', 'CAT:ARG', '-SPEC:ADV', 'PHI:PER:_', '-COMP:T/fin', 'PHI:NUM:_', 'TAIL:V', '-SPEC:Neg/fin', '-SPEC:C/fin', '-SPEC:V', 'LF:towards', 'LANG:FI', 'SPEC:*', '-COMP:N', '-SPEC:N', '-SPEC:v', 'adjoinable', '-SPEC:FORCE', '-COMP:uWH', '-SPEC:INF', 'ARG', 'PF:kohti', 'PHI:DET:_'}
kuka            ['LANG:FI']
kuka-           {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', 'LF:who', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', 'PHI', 'SPEC:A', '-COMP:AUX', '-COMP:P', '-SPEC:FORCE', '-SPEC:N', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR', 'PF:kuka'}
