@  {'test_corpus_file': 'LHM_corpus.txt', 'test_corpus_folder': 'study-4c-LHM', 'study_folder': 'study-4c-LHM/', 'author': 'PauliBrattico', 'year': 2021, 'date': 'March', 'study_id': 1, 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': True, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-03-10 14:45:37.126777
@  Test sentences from language data working directory\study-4c-LHM\LHM_corpus.txt.
@  Logs into language data working directory\study-4c-LHM\LHM_corpus_log.txt.
@  Lexicon from language data working directory\lexicon.txt.
@  Redundancy rules from language data working directory\redundancy_rules.txt.
@  Universal morphemes from language data working directory\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Group 0,Group 1,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
22,Pekka sanoo etta haluaa myyda omaisuuttaan ,1,1,0,2195,0,0,21,12,38,6,0,0,6,17,23,23,13,5,0,8,21,6,35,16,5,21,5,365,99,12,55,125
23,Pekka kaskee poikien ihailla Merjaa ,1,1,0,2225,0,0,12,11,27,4,0,0,4,9,13,17,12,4,2,17,12,4,24,13,3,29,5,445,57,7,38,78
24,Pekka kaskee poikien myyda omaisuuttaan ,1,1,0,2035,0,0,12,11,27,4,0,0,4,9,13,17,12,4,2,12,12,4,24,13,3,24,5,407,57,7,38,78
25,Pekka elaa ihailemalla Merjaa ,1,1,0,1515,0,0,14,8,10,3,0,0,3,5,8,12,9,0,0,12,2,3,14,6,5,21,4,378,59,9,72,46
26,Pekka elaa haluamalla ihailla Merjaa ,1,1,0,1860,0,0,24,11,20,3,0,0,3,6,11,16,12,3,0,12,5,5,17,10,6,24,5,372,99,16,88,93
27,Pekka teki sopimuksen ihailla Merjaa ,1,1,0,2200,0,0,12,11,30,4,0,0,4,6,11,15,12,4,0,16,15,5,23,13,5,28,5,440,52,7,37,93
28,Pekka teki sopimuksen antaa avaimen Merjalle ,1,1,0,2820,0,0,23,14,71,7,0,0,7,10,16,27,15,12,0,15,15,6,42,15,10,30,6,470,212,17,228,171
29,se sopimus ihailla Merjaa peruuntui ,1,1,0,3070,1,2,12,10,31,1,0,0,1,2,6,17,10,10,1,14,8,4,22,8,6,24,5,614,56,7,29,93
30,Merjaa ihailee Pekka ,1,1,0,1305,0,0,8,6,9,4,0,0,4,3,6,9,7,0,0,12,1,3,13,4,2,19,3,435,44,5,56,31
31,Merjaa ei ihaile Pekka ,1,1,0,1430,0,0,9,7,11,4,0,0,4,9,13,13,8,0,1,12,6,4,19,6,2,20,4,357,57,5,75,93
32,Merjaa on' ihaillut Pekka ,1,1,0,1675,0,0,26,8,17,4,0,0,4,10,14,13,9,0,0,13,8,4,20,6,5,22,4,418,180,17,204,62
33,Merjaa ei ollut ihaillut Pekka ,1,1,0,1780,0,0,10,8,13,4,0,0,4,18,23,17,9,0,1,14,13,5,26,9,3,23,5,356,72,5,94,109
34,Merjaa haluaa ihailla Pekka ,1,1,0,1680,0,0,11,9,21,4,0,0,4,5,10,12,10,4,0,12,5,5,17,8,4,22,4,420,77,7,89,62
35,Merjaa kaskee poikien ihailla Pekka ,1,1,0,2270,0,0,13,11,31,4,0,0,4,11,16,18,12,5,2,17,10,5,26,12,4,29,5,454,112,8,118,93
36,ihailen Merjaa ,1,1,0,775,0,0,5,4,3,0,0,0,0,1,3,2,5,0,0,7,1,2,3,3,2,12,2,387,5,3,2,31
37,haluan ihailla Merjaa ,1,1,0,1065,0,0,8,7,9,0,0,0,0,2,6,4,8,2,0,7,3,4,5,6,2,15,3,355,12,5,2,31
38,Pekka ihailee Merjaa Helsingissa ,1,1,0,2875,1,1,14,12,27,5,0,0,5,8,11,18,12,0,2,18,5,3,25,9,6,30,6,718,84,10,95,93
39,Pekka ei ihaile Merjaa Helsingissa ,1,1,0,4025,2,2,17,16,40,5,0,0,5,23,26,29,15,0,5,21,12,3,40,13,6,36,8,805,122,12,142,187
40,Pekka on' ihaillut Merjaa Helsingissa ,1,1,0,3370,1,1,52,14,45,7,0,0,7,20,24,26,14,0,2,19,8,4,39,11,8,33,7,674,328,39,316,171
41,Pekka ei ollut ihaillut Merjaa Helsingissa ,1,1,0,5435,3,3,20,20,53,6,0,0,6,45,48,41,18,0,6,26,21,3,57,18,7,44,10,905,172,14,208,281
42,Pekka haluaa ihailla Merjaa Helsingissa ,1,1,0,4330,2,2,19,18,60,7,0,0,7,11,16,29,17,11,4,21,11,5,35,15,7,38,8,866,129,14,118,171
43,Pekan_gen taytyy ihailla Merjaa Helsingissa ,1,1,0,4165,2,2,18,17,50,1,0,0,1,11,17,23,16,11,4,21,11,6,29,14,7,37,8,833,113,13,71,156
44,Pekka ei halua ihailla Merjaa Helsingissa ,1,1,0,5600,3,3,22,22,83,7,0,0,7,30,35,41,20,15,7,24,20,5,52,20,7,44,10,933,179,16,169,328
45,Pekka sanoo etta haluaa ihailla Merjaa Helsingissa ,1,1,0,5380,2,2,43,21,107,10,0,0,10,33,40,47,20,17,5,22,26,7,65,22,11,42,9,768,322,32,227,406
46,Pekka kaskee poikien ihailla Merjaa Helsingissa ,1,1,0,5975,3,3,23,23,83,9,0,0,9,23,28,43,21,15,8,29,18,5,50,21,8,50,10,995,189,17,159,250
47,Pekka#C/op ihailee Merjaa ,1,1,0,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,31
48,Pekka#[foc] ihailee Merjaa ,1,1,0,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,451,14,4,5,31
49,Pekka#[hAn] ihailee Merjaa ,1,1,0,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,451,14,4,5,31
50,Pekka#[kO] ihailee Merjaa ,1,1,0,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,31
51,Pekka#[pA] ihailee Merjaa ,1,1,0,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,31
52,Pekka#[foc]#[hAn] ihailee Merjaa ,1,1,0,1485,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,495,14,4,5,31
53,Pekka#[foc]#[kO] ihailee Merjaa ,1,1,0,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,491,14,4,5,31
54,Pekka#[foc]#[pA] ihailee Merjaa ,1,1,0,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,491,14,4,5,31
55,Pekka#[kO]#[hAn] ihailee Merjaa ,1,1,0,1465,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,488,14,4,5,31
56,Pekka#[pA]#[hAn] ihailee Merjaa ,1,1,0,1465,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,488,14,4,5,15
57,Pekka#[foc]#[kO]#[hAn] ihailee Merjaa ,1,1,0,1595,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,531,14,4,5,31
58,Pekka#[foc]#[pA]#[hAn] ihailee Merjaa ,1,1,0,1595,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,531,14,4,5,31
59,Merjaa#C/op ihailee Pekka ,1,1,0,1400,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,466,36,5,28,31
60,Merjaa#[foc] ihailee Pekka ,1,1,0,1410,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,470,36,5,28,46
61,Merjaa#[hAn] ihailee Pekka ,1,1,0,1410,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,470,36,5,28,31
62,Merjaa#[kO] ihailee Pekka ,1,1,0,1400,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,466,36,5,28,46
63,Merjaa#[pA] ihailee Pekka ,1,1,0,1400,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,13,1,3,10,4,2,20,4,466,36,5,28,46
64,Merjaa#[foc]#[hAn] ihailee Pekka ,1,1,0,1540,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,513,36,5,28,31
65,Merjaa#[foc]#[kO] ihailee Pekka ,1,1,0,1530,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,510,36,5,28,31
66,Merjaa#[foc]#[pA] ihailee Pekka ,1,1,0,1530,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,510,36,5,28,31
67,Merjaa#[kO]#[hAn] ihailee Pekka ,1,1,0,1520,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,506,36,5,28,31
68,Merjaa#[pA]#[hAn] ihailee Pekka ,1,1,0,1520,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,506,36,5,28,31
69,Merjaa#[foc]#[kO]#[hAn] ihailee Pekka ,1,1,0,1650,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,15,1,3,10,4,2,22,4,550,36,5,28,46
70,Merjaa#[foc]#[pA]#[hAn] ihailee Pekka ,1,1,0,1650,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,15,1,3,10,4,2,22,4,550,36,5,28,31
71,Merjaa#C/op Pekka ihailee ,1,1,0,1415,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,471,26,6,18,31
72,Merjaa#[foc] Pekka ihailee ,1,1,0,1425,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,475,26,6,18,31
73,Merjaa#[hAn] Pekka ihailee ,1,1,0,1425,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,475,26,6,18,31
74,Merjaa#[kO] Pekka ihailee ,1,1,0,1415,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,471,26,6,18,31
75,Merjaa#[pA] Pekka ihailee ,1,1,0,1415,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,471,26,6,18,31
76,Merjaa#[foc]#[hAn] Pekka ihailee ,1,1,0,1555,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,518,26,6,18,31
77,Merjaa#[foc]#[kO] Pekka ihailee ,1,1,0,1545,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,515,26,6,18,62
78,Merjaa#[foc]#[pA] Pekka ihailee ,1,1,0,1545,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,515,26,6,18,31
79,Merjaa#[kO]#[hAn] Pekka ihailee ,1,1,0,1535,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,511,26,6,18,31
80,Merjaa#[pA]#[hAn] Pekka ihailee ,1,1,0,1535,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,14,4,2,13,4,3,21,4,511,26,6,18,31
81,Merjaa#[foc]#[kO]#[hAn] Pekka ihailee ,1,1,0,1665,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,15,4,2,13,4,3,22,4,555,26,6,18,31
82,Merjaa#[foc]#[pA]#[hAn] Pekka ihailee ,1,1,0,1665,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,15,4,2,13,4,3,22,4,555,26,6,18,31
83,John sleeps ,1,1,0,625,0,0,4,3,3,0,0,0,0,1,2,2,4,0,0,6,0,1,4,2,1,10,2,312,6,2,0,15
84,John admires Mary ,1,1,0,1105,0,0,7,6,7,0,0,0,0,2,4,4,7,0,0,11,3,2,7,5,2,18,3,368,13,4,0,31
85,John does admire' Mary ,1,1,0,1125,0,0,7,6,6,0,0,0,0,4,6,7,7,0,0,10,7,2,11,6,3,17,3,281,14,3,0,31
86,John gave the key to Mary ,1,1,0,2520,1,1,15,12,26,0,0,0,0,11,14,24,12,0,1,15,23,3,35,15,8,27,4,420,61,7,5,109
87,John wants to_inf admire' Mary ,1,1,0,1595,0,0,10,9,19,0,0,0,0,6,11,11,10,4,0,11,12,5,16,11,4,21,4,319,31,5,0,62
88,John admires ,1,1,1,
89,istuu#C/op Pekka ,1,2,0,890,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,8,1,1,4,3,2,13,3,445,10,3,8,15
90,istuu#[foc] Pekka ,1,2,0,900,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,8,1,1,4,3,2,13,3,450,10,3,8,15
91,istuu#[hAn] Pekka ,1,2,0,900,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,8,1,1,4,3,2,13,3,450,10,3,8,15
92,istuu#[kO] Pekka ,1,2,0,890,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,8,1,1,4,3,2,13,3,445,10,3,8,15
93,istuu#[pA] Pekka ,1,2,0,890,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,8,1,1,4,3,2,13,3,445,10,3,8,31
94,istuu#[foc]#[hAn] Pekka ,1,2,0,1030,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,515,10,3,8,15
95,istuu#[foc]#[kO] Pekka ,1,2,0,1020,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,510,10,3,8,15
96,istuu#[foc]#[pA] Pekka ,1,2,0,1020,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,510,10,3,8,15
97,istuu#[kO]#[hAn] Pekka ,1,2,0,1010,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,505,10,3,8,15
98,istuu#[pA]#[hAn] Pekka ,1,2,0,1010,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,505,10,3,8,15
99,istuu#[foc]#[kO]#[hAn] Pekka ,1,2,0,1140,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,10,1,1,4,3,2,15,3,570,10,3,8,31
100,istuu#[foc]#[pA]#[hAn] Pekka ,1,2,0,1140,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,10,1,1,4,3,2,15,3,570,10,3,8,15
101,ihailee#C/op Pekka Merjaa ,1,2,0,1525,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,14,3,2,9,6,2,22,4,508,24,5,17,46
102,ihailee#[foc] Pekka Merjaa ,1,2,0,1535,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,14,3,2,9,6,2,22,4,511,24,5,17,46
103,myi#[foc] Pekka omaisuutensa ,1,2,0,1335,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,10,3,2,9,6,2,18,4,445,24,5,17,31
104,myi#C/op Pekka omaisuutensa ,1,2,0,1325,0,0,8,7,10,2,0,0,2,4,6,6,8,0,0,10,3,2,9,6,2,18,4,441,24,5,17,31
105,antoi#[foc] Pekka avaimen Merjalle ,1,2,0,1950,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,13,7,3,24,8,6,24,5,487,95,11,101,62
106,antoi#C/op Pekka avaimen Merjalle ,1,2,0,1940,0,0,15,10,23,5,0,0,5,8,11,16,11,0,2,13,7,3,24,8,6,24,5,485,95,11,101,62
107,ei#C/op Pekka ihaile Merjaa ,1,2,0,1630,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,14,8,3,16,8,4,23,5,407,41,5,39,46
108,ei#[foc] Pekka ihaile Merjaa ,1,2,0,1640,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,14,8,3,16,8,4,23,5,410,41,5,39,62
109,ei#[hAn] Pekka ihaile Merjaa ,1,2,0,1640,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,14,8,3,16,8,4,23,5,410,41,5,39,46
110,ei#[kO] Pekka ihaile Merjaa ,1,2,0,1630,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,14,8,3,16,8,4,23,5,407,41,5,39,46
111,ei#[pA] Pekka ihaile Merjaa ,1,2,0,1630,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,14,8,3,16,8,4,23,5,407,41,5,39,62
112,ei#[foc]#[hAn] Pekka ihaile Merjaa ,1,2,0,1770,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,442,41,5,39,62
113,ei#[foc]#[kO] Pekka ihaile Merjaa ,1,2,0,1760,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,440,41,5,39,62
114,ei#[foc]#[pA] Pekka ihaile Merjaa ,1,2,0,1760,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,440,41,5,39,62
115,ei#[kO]#[hAn] Pekka ihaile Merjaa ,1,2,0,1750,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,437,41,5,39,46
116,ei#[pA]#[hAn] Pekka ihaile Merjaa ,1,2,0,1750,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,15,8,3,16,8,4,24,5,437,41,5,39,46
117,ei#[foc]#[kO]#[hAn] Pekka ihaile Merjaa ,1,2,0,1880,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,16,8,3,16,8,4,25,5,470,41,5,39,46
118,ei#[foc]#[pA]#[hAn] Pekka ihaile Merjaa ,1,2,0,1880,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,16,8,3,16,8,4,25,5,470,41,5,39,46
119,ei#C/op Pekan_gen taydy ihailla Merjaa ,1,2,0,1975,0,0,11,10,22,0,0,0,0,14,20,12,11,4,1,14,14,6,19,12,5,25,6,395,53,6,17,78
120,ei#C/op Pekka halua ihailla Merjaa ,1,2,0,2095,0,0,12,11,28,5,0,0,5,14,19,17,12,4,1,14,14,5,24,13,4,26,6,419,68,7,57,93
121,ei#C/op Pekka ollut ihaillut Merjaa ,1,2,0,2005,0,0,10,9,16,4,0,0,4,18,22,16,10,0,1,16,15,4,24,11,5,26,6,401,58,5,59,78
122,ei#C/op Pekka myynyt omaisuuttaan ,1,2,0,1585,0,0,9,8,13,3,0,0,3,9,12,11,9,0,1,11,8,3,16,8,5,20,5,396,41,5,39,46
123,ei#C/op Pekan_gen taydy myyda omaisuuttaan ,1,2,0,1785,0,0,11,10,22,0,0,0,0,14,20,12,11,4,1,9,14,6,19,12,5,20,6,357,53,6,17,62
124,ei#C/op Pekka halua myyda omaisuuttaan ,1,2,0,1905,0,0,12,11,28,5,0,0,5,14,19,17,12,4,1,9,14,5,24,13,4,21,6,381,68,7,57,93
125,ei#C/op Pekka ollut myynyt omaisuuttaan ,1,2,0,1865,0,0,10,9,16,4,0,0,4,18,22,16,10,0,1,12,15,4,24,11,5,22,6,373,58,5,59,78
126,taytyy#C/op Pekan_gen ihailla Merjaa ,1,2,0,1800,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,14,6,5,10,9,2,24,5,450,37,6,11,46
127,taytyy#[foc] Pekan_gen ihailla Merjaa ,1,2,0,1810,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,14,6,5,10,9,2,24,5,452,37,6,11,46
128,taytyy#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,1810,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,14,6,5,10,9,2,24,5,452,37,6,11,78
129,taytyy#[kO] Pekan_gen ihailla Merjaa ,1,2,0,1800,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,14,6,5,10,9,2,24,5,450,37,6,11,46
130,taytyy#[pA] Pekan_gen ihailla Merjaa ,1,2,0,1800,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,14,6,5,10,9,2,24,5,450,37,6,11,46
131,taytyy#[foc]#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,1940,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,2,25,5,485,37,6,11,46
132,taytyy#[foc]#[kO] Pekan_gen ihailla Merjaa ,1,2,0,1930,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,2,25,5,482,37,6,11,46
133,taytyy#[foc]#[pA] Pekan_gen ihailla Merjaa ,1,2,0,1930,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,2,25,5,482,37,6,11,46
134,taytyy#[kO]#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,1920,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,2,25,5,480,37,6,11,46
135,taytyy#[pA]#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,1920,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,15,6,5,10,9,2,25,5,480,37,6,11,62
136,taytyy#[foc]#[kO]#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,2050,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,16,6,5,10,9,2,26,5,512,37,6,11,62
137,taytyy#[foc]#[pA]#[hAn] Pekan_gen ihailla Merjaa ,1,2,0,2050,0,0,10,9,16,0,0,0,0,6,11,7,10,3,0,16,6,5,10,9,2,26,5,512,37,6,11,62
