ï»¿dummy        {'dummy', 'LANG:EN'}
does            {'FIN', 'PHI:NUM:SG', '-SPEC:v', 'PHI:GEN:_', 'SPEC:C/fin', 'SPEC:D', '-SPEC:Neg', 'LF:does', '-SPEC:TO/inf', 'PHI:GEN:F', '-COMP:T/fin', '!COMP:*', 'PHI:DET:_', 'PHI:GEN:M', '!PROBE:V', 'LANG:EN', '-COMP:INF', 'COMP:Neg', 'T/fin', '-SPEC:C', 'SPEC:*', 'COMP:V', 'PHI:NUM:_', 'PHI:PER:_', '-SPEC:T/fin', 'PHI:PER:3', 'ARG', 'T', 'COMP:T/prt', '!SPEC:*', 'COMP:v', 'PF:does', 'VAL', 'SPEC:FORCE', '-SPEC:V', 'SPEC:TO/inf', '-SPEC:N'}
does_C          ['LANG:EN']
does-           {'FIN', 'PHI:NUM:SG', '-SPEC:v', 'PHI:GEN:_', 'SPEC:C/fin', 'SPEC:D', '-SPEC:Neg', 'LF:does', '-SPEC:TO/inf', 'PHI:GEN:F', '-COMP:T/fin', '!COMP:*', 'PHI:DET:_', 'PHI:GEN:M', '!PROBE:V', 'LANG:EN', '-COMP:INF', 'COMP:Neg', 'T/fin', '-SPEC:C', 'SPEC:*', 'COMP:V', 'PHI:NUM:_', 'PHI:PER:_', '-SPEC:T/fin', 'PHI:PER:3', 'ARG', 'T', 'COMP:T/prt', '!SPEC:*', 'COMP:v', 'PF:does', 'VAL', 'SPEC:FORCE', '-SPEC:V', 'SPEC:TO/inf', '-SPEC:N'}
dorme           ['LANG:IT']
dorme-          {'COMP:P', '!SPEC:D', 'PHI:GEN:_', 'CLASS:INTR', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'V', 'LF:sleep', '-SPEC:T/fin', '-SPEC:FORCE', 'ARG', 'PHI:PER:_', '-COMP:V', '-COMP:D', 'PHI:DET:_', 'ASP', '-COMP:v', '-VAL', 'LANG:EN', '-COMP:MA/inf', 'SPEC:TO/inf', 'SPEC:P', 'PF:dorme', '-COMP:N'}
disappeared     ['LANG:EN']
disappear-      {'PF:disappear', 'COMP:P', 'PHI:GEN:_', 'CLASS:INTR', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', '-COMP:D', 'PHI:DET:_', 'LF:disappear', 'ASP', '-COMP:v', '-VAL', 'LANG:EN', '-COMP:MA/inf', 'SPEC:TO/inf', 'SPEC:P', '-COMP:N'}
e               ['LANG:IT']
easy            ['LANG:EN']
easy-           {'PF:easy', 'LF:easy', '2SPEC', 'LANG:EN', '0', 'SPEC:D'}
