kuorsaa-        {'LF:snore', 'ASP', '-COMP:N', 'SPEC:φ', '-SPEC:FORCE', 'PHI:GEN:_', 'CLASS/INTR', 'PHI:PER:_', '-COMP:V', 'PHI:NUM:_', '-COMP:T/fin', '-COMP:WH', 'ARG', 'SPEC:P', 'PF:kuorsaa-', 'LANG:FI', '-PHI', '-COMP:T/prt', '-SPEC:T/fin', '-COMP:v', 'PHI:DET:_', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHON', '-COMP:φ', 'COMP:P'}
kuvaa           {'PHON', 'LANG:FI'}
kuva-           {'-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', 'LF:picture', '-COMP:WH', 'PF:kuva', '-COMP:AUX', 'LANG:FI', 'COMP:R/D', 'COMP:C', '-SPEC:T/fin', 'COMP:P', '-COMP:v', 'N', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'SPEC:φ', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', '-COMP:T/fin', '-SPEC:N', '-SPEC:uWH', '-COMP:T/prt', 'COMP:uR', '-SPEC:V', '-COMP:D', 'PHON', '-SPEC:P'}
kysyi           {'PHON', 'LANG:EN'}
kysy-           {'ASP', '-COMP:N', '-SPEC:FORCE', 'PHI:GEN:_', 'PHI:PER:_', '-COMP:V', '!PROBE:FORCE:WH', 'LF:ask', 'PHI:NUM:_', 'ARG', 'SPEC:P', 'LANG:FI', '-PHI', 'PF:kysy-', '-COMP:T/prt', '-SPEC:T/fin', '-COMP:v', 'PHI:DET:_', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHON'}
lähellä         {'P', '-SPEC:FORCE', '-COMP:Neg', 'PHI:GEN:_', '-COMP:A', 'PHI:PER:_', '-COMP:uWH', 'LANG:FI', '-SPEC:Neg', '-PHI', '-SPEC:T/prt', '-SPEC:T/fin', '-SPEC:Neg/fin', '-SPEC:v', '-COMP:N', '-SPEC:Adv', '-COMP:MA/A', '-SPEC:C/fin', 'Adv', 'PHI:NUM:_', 'PF:lähellä', '-COMP:T/fin', 'ARG', 'TAIL:V', '-SPEC:C', '-SPEC:N', '-SPEC:iWH', '-COMP:T', 'COMP:φ', '-COMP:Adv', '-SPEC:iR', 'EF:*', '-SPEC:V', 'LF:near', 'PHI:DET:_', 'adjoinable', 'PHON', '-SPEC:P'}
lähellä         {'P', 'EF:φ', '-SPEC:FORCE', '-COMP:Neg', 'PHI:GEN:_', '-COMP:A', 'PHI:PER:_', '-COMP:uWH', '-COMP:C/fin', 'LANG:FI', '-SPEC:Neg', 'COMP:V', '-SPEC:T/prt', '-SPEC:T/fin', 'COMP:v', '-SPEC:Neg/fin', 'TAM', '-SPEC:v', '-COMP:N', '-SPEC:Adv', '-COMP:MA/A', '-SPEC:C/fin', 'Adv', 'PHI:NUM:_', '-COMP:FORCE', 'PF:lähellä', '-COMP:T/fin', 'Inf', 'ARG', 'TAIL:V', '-SPEC:C', '-SPEC:N', '-SPEC:iWH', '-COMP:T', 'COMP:φ', '-COMP:Adv', '-SPEC:iR', '!SEF', 'EF:*', '-SPEC:V', 'LF:near', 'PHI:DET:_', 'adjoinable', 'PHON', '-SPEC:P'}
lähellä*        {'P', 'EF:φ', '-SPEC:FORCE', '-COMP:Neg', 'PHI:GEN:_', '-COMP:A', 'PHI:PER:_', '-COMP:uWH', '-COMP:C/fin', 'LANG:FI', '-SPEC:Neg', 'COMP:V', '-SPEC:T/prt', '-SPEC:T/fin', 'COMP:v', '-SPEC:Neg/fin', 'TAM', '-SPEC:v', '-COMP:N', '-SPEC:Adv', '-COMP:MA/A', '-SPEC:C/fin', 'Adv', 'PHI:NUM:_', '-COMP:FORCE', 'PF:lähellä', '-COMP:T/fin', 'Inf', 'ARG', 'TAIL:V', '-SPEC:C', '-SPEC:N', '-SPEC:iWH', '-COMP:T', 'COMP:φ', '-COMP:Adv', '-SPEC:iR', '!SEF', 'EF:*', '-SPEC:V', 'LF:near', 'PHI:DET:_', 'adjoinable', 'PHON', '-SPEC:P'}
lähellä'        {'P', '-SPEC:FORCE', '-COMP:Neg', 'PHI:GEN:_', '-COMP:A', 'PHI:PER:_', '-COMP:uWH', 'LANG:FI', '-SPEC:Neg', '-PHI', '-SPEC:T/prt', '-SPEC:T/fin', '-SPEC:Neg/fin', '-SPEC:v', '-COMP:N', '-SPEC:Adv', '-COMP:MA/A', '-SPEC:C/fin', 'Adv', 'PHI:NUM:_', 'PF:lähellä', '-COMP:T/fin', 'ARG', '-SPEC:C', '-SPEC:N', '-SPEC:iWH', '-COMP:T', 'COMP:φ', '-COMP:Adv', '-SPEC:iR', 'EF:*', '-SPEC:V', 'LF:near', 'PHI:DET:_', 'adjoinable', 'PHON', '-SPEC:P'}
lähellä'        {'P', 'EF:φ', '-SPEC:FORCE', '-COMP:Neg', 'PHI:GEN:_', '-COMP:A', 'PHI:PER:_', '-COMP:uWH', '-COMP:C/fin', 'LANG:FI', '-SPEC:Neg', 'COMP:V', '-SPEC:T/prt', '-SPEC:T/fin', 'COMP:v', '-SPEC:Neg/fin', 'TAM', '-SPEC:v', '-COMP:N', '-SPEC:Adv', '-COMP:MA/A', '-SPEC:C/fin', 'Adv', 'PHI:NUM:_', '-COMP:FORCE', 'PF:lähellä', '-COMP:T/fin', 'Inf', 'ARG', '-SPEC:C', '-SPEC:N', '-SPEC:iWH', '-COMP:T', 'COMP:φ', '-COMP:Adv', '-SPEC:iR', '!SEF', 'EF:*', '-SPEC:V', 'LF:near', 'PHI:DET:_', 'adjoinable', 'PHON', '-SPEC:P'}
lähtee          {'PHON', 'LANG:FI'}
lähden          {'PHON', 'LANG:FI'}
lähteä          {'PHON', 'LANG:FI'}
lähtemään       {'PHON', 'LANG:FI'}
lähtevän        {'PHON', 'LANG:FI'}
lähtevänsä      {'PHON', 'LANG:FI'}
lähteväni       {'PHON', 'LANG:FI'}
lähtemässä      {'PHON', 'LANG:FI'}
lähtemässä*     {'PHON', 'LANG:FI'}
lähtemästä      {'PHON', 'LANG:FI'}
lähtemättä      {'PHON', 'LANG:FI'}
