kuorsaa-        {'PHI:GEN:_', 'PHI:PER:_', 'CLASS/INTR', 'PHI:DET:_', '-COMP:WH', '-COMP:φ', 'SPEC:TO/inf', 'LF:snore', 'PF:kuorsaa-', 'V', 'COMP:P', '-COMP:T/prt', '-COMP:N', 'SPEC:φ', '-PHI', '-SPEC:FORCE', '-COMP:v', 'LANG:FI', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'PHI:NUM:_', 'SPEC:P', 'ASP', '-COMP:T/fin', 'ARG', 'PHON'}
kuvaa           {'PHON', 'LANG:FI'}
kuva-           {'-SPEC:N', '-COMP:φ', 'COMP:P', 'LF:picture', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', '-COMP:T/fin', 'SPEC:A', '-SPEC:P', 'PHON', '-COMP:A', 'COMP:C', '-COMP:WH', 'COMP:uR', '-SPEC:R', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', 'PF:kuva', '-COMP:AUX', '-SPEC:uWH', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
kysyi           {'PHON', 'LANG:EN'}
kysy-           {'PHI:GEN:_', '!PROBE:FORCE:WH', 'PHI:PER:_', 'PHI:DET:_', 'SPEC:TO/inf', 'V', '-COMP:T/prt', '-COMP:N', '-PHI', '-SPEC:FORCE', '-COMP:v', 'LANG:FI', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'PHI:NUM:_', 'SPEC:P', 'ASP', 'LF:ask', 'ARG', 'PHON', 'PF:kysya'}
lähellä         {'-SPEC:N', '-SPEC:iWH', 'EF:*', '-SPEC:C', 'adjoinable', 'LF:near', 'ADV', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', 'PHI:NUM:_', '-SPEC:Neg', '-COMP:ADV', '-COMP:T/fin', 'ARG', '-SPEC:T/prt', '-SPEC:P', 'PHON', '-SPEC:Neg/fin', '-COMP:T', '-COMP:A', 'PHI:PER:_', 'PHI:DET:_', '-SPEC:iR', '-SPEC:v', 'PHI:GEN:_', 'COMP:φ', 'P', '-COMP:uWH', '-COMP:N', 'PF:lähellä', '-PHI', '-SPEC:FORCE', '-SPEC:ADV', '-SPEC:C/fin', 'TAIL:V', '-COMP:MA/A', '-COMP:Neg'}
lähellä         {'-SPEC:N', '-SPEC:iWH', 'EF:*', 'TAM', 'COMP:v', '-SPEC:C', 'adjoinable', 'LF:near', '-COMP:C/fin', 'ADV', 'LANG:FI', '-SPEC:V', '!SEF', '-SPEC:T/fin', 'PHI:NUM:_', '-SPEC:Neg', '-COMP:ADV', '-COMP:T/fin', 'ARG', '-SPEC:T/prt', '-SPEC:P', 'PHON', '-SPEC:Neg/fin', '-COMP:T', '-COMP:A', 'PHI:PER:_', 'PHI:DET:_', '-SPEC:iR', '-SPEC:v', 'COMP:V', 'PHI:GEN:_', 'COMP:φ', 'EF:φ', 'P', '-COMP:uWH', '-COMP:N', 'PF:lähellä', '-SPEC:FORCE', '-SPEC:ADV', '-SPEC:C/fin', 'INF', '-COMP:FORCE', 'TAIL:V', '-COMP:MA/A', '-COMP:Neg'}
lähellä*        {'-SPEC:N', '-SPEC:iWH', 'EF:*', 'TAM', 'COMP:v', '-SPEC:C', 'adjoinable', 'LF:near', '-COMP:C/fin', 'ADV', 'LANG:FI', '-SPEC:V', '!SEF', '-SPEC:T/fin', 'PHI:NUM:_', '-SPEC:Neg', '-COMP:ADV', '-COMP:T/fin', 'ARG', '-SPEC:T/prt', '-SPEC:P', 'PHON', '-SPEC:Neg/fin', '-COMP:T', '-COMP:A', 'PHI:PER:_', 'PHI:DET:_', '-SPEC:iR', '-SPEC:v', 'COMP:V', 'PHI:GEN:_', 'COMP:φ', 'EF:φ', 'P', '-COMP:uWH', '-COMP:N', 'PF:lähellä', '-SPEC:FORCE', '-SPEC:ADV', '-SPEC:C/fin', 'INF', '-COMP:FORCE', 'TAIL:V', '-COMP:MA/A', '-COMP:Neg'}
lähellä'        {'-SPEC:N', '-SPEC:iWH', 'EF:*', '-SPEC:C', 'adjoinable', 'LF:near', 'ADV', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', 'PHI:NUM:_', '-SPEC:Neg', '-COMP:ADV', '-COMP:T/fin', 'ARG', '-SPEC:T/prt', '-SPEC:P', 'PHON', '-SPEC:Neg/fin', '-COMP:T', '-COMP:A', 'PHI:PER:_', 'PHI:DET:_', '-SPEC:iR', '-SPEC:v', 'PHI:GEN:_', 'COMP:φ', 'P', '-COMP:uWH', '-COMP:N', 'PF:lähellä', '-PHI', '-SPEC:FORCE', '-SPEC:ADV', '-SPEC:C/fin', '-COMP:MA/A', '-COMP:Neg'}
lähellä'        {'-SPEC:N', '-SPEC:iWH', 'EF:*', 'TAM', 'COMP:v', '-SPEC:C', 'adjoinable', 'LF:near', '-COMP:C/fin', 'ADV', 'LANG:FI', '-SPEC:V', '!SEF', '-SPEC:T/fin', 'PHI:NUM:_', '-SPEC:Neg', '-COMP:ADV', '-COMP:T/fin', 'ARG', '-SPEC:T/prt', '-SPEC:P', 'PHON', '-SPEC:Neg/fin', '-COMP:T', '-COMP:A', 'PHI:PER:_', 'PHI:DET:_', '-SPEC:iR', '-SPEC:v', 'COMP:V', 'PHI:GEN:_', 'COMP:φ', 'EF:φ', 'P', '-COMP:uWH', '-COMP:N', 'PF:lähellä', '-SPEC:FORCE', '-SPEC:ADV', '-SPEC:C/fin', 'INF', '-COMP:FORCE', '-COMP:MA/A', '-COMP:Neg'}
